Municipio;UF;Regiao;Ano;Populacao;PessoalOcupado;PessoalAssalariado;PIB;QtEmpresas;AreaPlantada_h;VlProducaoAgricola;VlProducaoPecuaria;Area;NrNascimentos;NrObitosInfantis;povoamento;Exportacoes_R$
Entre Rios;SC;Sul;2018,5;3198,67;758,67;675,33;50238200,0;46,83;16666,67;8333,33;6000,0;105,2;56,83;1,0;30,41;0,0
Entre Rios de Minas;MG;Sudeste;2018,5;15308,67;2292,5;1680,5;213951400,0;444,33;21666,67;13833,33;50333,33;456,8;164,17;1,67;33,51;163027,36
Entre Rios do Oeste;PR;Sul;2018,5;4505,0;1031,67;729,33;241648000,0;208,67;670000,0;70666,67;57500,0;122,1;57,83;1,17;36,9;4112931,55
Entre Rios do Sul;RS;Sul;2018,5;2865,0;453,5;340,17;206514400,0;106,0;45000,0;37333,33;3833,33;120,1;29,0;0,17;23,86;0,0
Entre-Ijuís;RS;Sul;2018,5;8627,83;1313,83;1075,17;376406400,0;208,83;501666,67;400166,67;54833,33;552,6;107,83;1,67;15,61;1242695,96
Envira;AM;Norte;2018,5;19912,83;1089,83;1034,83;159906200,0;56,17;41666,67;68500,0;333,33;7499,4;380,83;10,83;2,66;0,0
Enéas Marques;PR;Sul;2018,5;6023,33;1313,67;1076,67;226915200,0;186,0;30000,0;42500,0;62833,33;192,2;63,83;0,33;31,34;0,0
Epitaciolândia;AC;Norte;2018,5;18097,67;1719,5;1496,83;428787000,0;178,5;45000,0;60666,67;6833,33;1654,8;290,83;5,0;10,94;913544,69
Equador;RN;Nordeste;2018,5;6070,17;551,83;477,17;67491000,0;70,33;0,0;16833,33;500,0;265,0;63,33;0,67;22,91;0,0
Erebango;RS;Sul;2018,5;3012,83;393,83;282,5;111712800,0;82,83;481666,67;181166,67;36500,0;153,1;41,17;0,67;19,68;0,0
Erechim;RS;Sul;2018,5;105210,83;39473,0;30717,17;5038975800,0;5,57;475000,0;106333,33;51833,33;430,7;1,32;11,5;244,28;159995542,61
Ererê;CE;Nordeste;2018,5;7197,5;573,0;535,0;56042000,0;32,17;33333,33;3000,0;20166,67;396,0;26,17;1,17;18,18;0,0
Ermo;SC;Sul;2018,5;2067,0;741,83;686,67;92575000,0;50,0;46666,67;45000,0;6333,33;63,9;33,67;0,0;32,35;584482,41
Ernestina;RS;Sul;2018,5;3183,67;725,67;473,67;144130600,0;169,67;578333,33;178500,0;50166,67;239,1;29,67;0,33;13,32;2660105,88
Erval Grande;RS;Sul;2018,5;4953,0;702,0;567,0;100361600,0;149,0;41666,67;46000,0;11166,67;285,9;56,33;0,17;17,32;0,0
Erval Seco;RS;Sul;2018,5;7137,67;784,67;592,5;238776600,0;211,33;375000,0;91000,0;62666,67;363,9;84,17;1,17;19,61;0,0
Erval Velho;SC;Sul;2018,5;4435,33;1090,5;895,67;139300600,0;187,67;63333,33;52833,33;60500,0;207,2;55,17;1,33;21,41;0,0
Ervália;MG;Sudeste;2018,5;18943,33;2627,83;1994,17;313262800,0;411,0;173333,33;54833,33;2166,67;357,5;226,5;2,83;52,99;180917,47
Escada;PE;Nordeste;2018,5;68739,33;7149,33;6566,83;966090200,0;548,33;396666,67;59000,0;16166,67;347,0;724,67;8,5;198,1;43095135,07
Esmeralda;RS;Sul;2018,5;3292,83;1799,33;1384,67;205509200,0;82,83;628333,33;569666,67;4000,0;829,9;33,0;0,17;3,97;0,0
Esmeraldas;MG;Sudeste;2018,5;70326,33;6880,17;5591,33;718238200,0;767,67;0,0;6166,67;51000,0;911,4;1,12;13,33;77,16;11616384,79
Espera Feliz;MG;Sudeste;2018,5;24929,83;3847,5;2990,17;411653800,0;693,83;371666,67;361333,33;18000,0;317,6;333,17;2,83;78,49;30930,44
Esperantina;PI;Nordeste;2018,5;39536,67;3121,17;2537,17;375842600,0;514,17;35000,0;5166,67;4500,0;911,2;638,17;9,83;43,39;0,0
Esperantina;TO;Norte;2018,5;10951,67;468,5;433,33;92319000,0;37,5;0,0;4833,33;2833,33;504,0;148,67;3,0;21,73;0,0
Esperantinópolis;MA;Nordeste;2018,5;17030,17;1295,67;1123,83;137427600,0;156,0;28333,33;4333,33;3666,67;480,9;320,17;4,0;35,41;0,0
Esperança;PB;Nordeste;2018,5;33148,67;4308,83;3591,33;424413600,0;592,17;38333,33;4166,67;36166,67;163,8;482,17;5,17;202,37;3753354,41
Esperança Nova;PR;Sul;2018,5;1742,5;360,33;324,83;50029800,0;36,17;35000,0;43000,0;19333,33;138,6;22,5;0,0;12,57;37006,15
Esperança do Sul;RS;Sul;2018,5;3009,0;370,33;294,5;75452200,0;63,83;55000,0;46833,33;51166,67;148,4;32,0;0,17;20,28;0,0
Espigão Alto do Iguaçu;PR;Sul;2018,5;4212,33;540,5;455,83;124735400,0;89,83;461666,67;100166,67;58666,67;326,4;64,17;0,17;12,91;66033,79
Espigão DOeste;RO;Norte;2018,5;32644,5;4496,67;3640,5;601373800,0;643,83;46666,67;39333,33;67500,0;4518,0;483,5;5,67;7,23;381825,69
Espinosa;MG;Sudeste;2018,5;31808,5;3748,67;2965,83;303455600,0;624,67;38333,33;8000,0;30166,67;1869,0;396,5;6,0;17,02;234524,36
Esplanada;BA;Nordeste;2018,5;37421,5;3674,17;3114,5;583302400,0;417,5;80000,0;66666,67;5000,0;1320,7;482,5;6,83;28,33;2893018,07
Espumoso;RS;Sul;2018,5;15671,0;3881,5;2963,33;692989800,0;653,83;476666,67;524166,67;49333,33;783,1;181,67;1,33;20,01;53519,8
Espírito Santo;RN;Nordeste;2018,5;10565,83;654,0;615,17;79556800,0;38,67;0,0;1666,67;3833,33;135,8;105,17;2,17;77,8;0,0
Espírito Santo do Dourado;MG;Sudeste;2018,5;4701,17;641,0;536,17;85369200,0;80,83;51666,67;43166,67;30333,33;263,9;89,17;0,83;17,81;0,0
Espírito Santo do Pinhal;SP;Sudeste;2018,5;44300,0;11715,0;9799,5;1461153000,0;1,4;595000,0;439666,67;4000,0;389,4;441,33;3,83;113,76;44378313,33
Espírito Santo do Turvo;SP;Sudeste;2018,5;4798,83;600,17;349,5;78492000,0;248,67;38333,33;35000,0;2833,33;193,7;59,67;0,67;24,77;0,0
Estação;RS;Sul;2018,5;6020,67;1791,67;1426,67;294650000,0;258,5;36666,67;67000,0;35833,33;100,3;67,33;0,67;60,03;2653802,97
Esteio;RS;Sul;2018,5;83550,83;25197,83;21712,33;3267139800,0;2,5;0,0;4333,33;21833,33;27,7;149,73;8,83;3016,28;238208718,51
Estiva;MG;Sudeste;2018,5;11389,5;2363,33;2057,67;263772000,0;229,0;6666,67;36500,0;19833,33;243,9;113,17;0,83;46,7;41365,55
Estiva Gerbi;SP;Sudeste;2018,5;11242,33;1908,33;1634,0;318758400,0;213,67;30000,0;49166,67;4000,0;74,2;133,5;1,33;151,51;5394958,67
Estreito;MA;Nordeste;2018,5;42072,0;3397,0;2820,83;878007400,0;448,67;40000,0;4166,67;45333,33;2719,0;584,5;9,0;15,47;975926,24
Estrela;RS;Sul;2018,5;33849,0;10971,0;8275,0;1539396800,0;1,77;21666,67;61500,0;38666,67;184,2;423,33;3,17;183,76;54313080,16
Estrela Dalva;MG;Sudeste;2018,5;2374,0;283,0;252,83;32841400,0;31,0;155000,0;7166,67;13333,33;131,4;22,67;0,67;18,07;0,0
Estrela Velha;RS;Sul;2018,5;3683,33;418,17;342,83;122749000,0;72,0;506666,67;54666,67;19000,0;281,7;35,83;0,5;13,08;0,0
Estrela dOeste;SP;Sudeste;2018,5;8434,33;4772,17;4439,5;646733000,0;272,83;596666,67;43000,0;60000,0;296,4;92,33;1,0;28,46;34102,72
Estrela de Alagoas;AL;Nordeste;2018,5;18287,5;827,17;754,83;112644400,0;78,33;0,0;666,67;31333,33;259,8;231,33;3,0;70,39;0,0
Estrela do Indaiá;MG;Sudeste;2018,5;3527,5;373,67;304,67;102414200,0;65,0;56666,67;47500,0;76166,67;636,0;24,33;0,5;5,55;0,0
Estrela do Norte;GO;Centro-Oeste;2018,5;3306,5;445,5;377,33;52680000,0;63,5;36666,67;10000,0;5000,0;301,6;37,17;0,0;10,96;0,0
Estrela do Norte;SP;Sudeste;2018,5;2767,67;385,67;338,0;62402600,0;43,0;45000,0;69333,33;2000,0;263,4;32,0;0,0;10,51;0,0
Estrela do Sul;MG;Sudeste;2018,5;7985,0;1041,67;880,0;391815800,0;134,17;420000,0;102666,67;17833,33;822,5;77,5;1,67;9,71;0,0
Estância;SE;Nordeste;2018,5;69264,5;9921,17;8773,83;1762085200,0;798,83;40000,0;56500,0;4500,0;644,1;165,4;17,0;107,54;67285102,03
Estância Velha;RS;Sul;2018,5;49249,17;15139,5;11984,83;1442283000,0;2,14;0,0;6166,67;0,0;52,1;589,17;6,5;945,28;87891006,03
Euclides da Cunha;BA;Nordeste;2018,5;60989,83;4263,83;3330,33;627970600,0;784,17;413333,33;190166,67;27833,33;2235,3;795,17;13,5;27,28;8330,67
Euclides da Cunha Paulista;SP;Sudeste;2018,5;9425,67;787,33;588,83;129350200,0;181,0;40000,0;42166,67;5166,67;575,2;101,67;1,17;16,39;0,0
Eugenópolis;MG;Sudeste;2018,5;11286,67;1765,17;1475,33;161262600,0;235,67;46666,67;58500,0;25500,0;309,4;101,33;1,33;36,48;0,0
Eugênio de Castro;RS;Sul;2018,5;2489,33;755,5;592,5;191982800,0;64,83;586666,67;585333,33;29000,0;419,3;26,33;0,0;5,94;0,0
Eunápolis;BA;Nordeste;2018,5;114169,83;20851,33;17710,33;2829968200,0;2,29;131666,67;194666,67;27833,33;1179,1;1,84;26,0;96,83;32240284,92
Eusébio;CE;Nordeste;2018,5;53408,33;58835,83;54097,67;2976675600,0;2,7;141666,67;0,0;48500,0;79,0;1,23;11,17;676,06;241086232,07
Ewbank da Câmara;MG;Sudeste;2018,5;3927,33;447,0;347,83;41012400,0;68,0;95000,0;38833,33;4833,33;103,8;54,17;0,5;37,84;0,0
Extrema;MG;Sudeste;2018,5;35728,67;12373,17;10711,67;8977377800,0;162,37;0,0;4500,0;5500,0;244,6;703,0;5,33;146,07;3587589361,49
Extremoz;RN;Nordeste;2018,5;28547,83;3085,67;2607,5;440998400,0;362,5;0,0;5000,0;5500,0;139,6;582,5;9,33;204,5;2792,67
Exu;PE;Nordeste;2018,5;31805,5;2361,0;2028,17;266686400,0;282,17;651666,67;52666,67;204000,0;1337,5;466,5;6,67;23,78;298053,27
Fagundes;PB;Nordeste;2018,5;11276,83;618,33;572,0;92589800,0;42,5;41666,67;6166,67;5833,33;189,0;174,17;1,5;59,67;0,0
Fagundes Varela;RS;Sul;2018,5;2730,5;723,5;495,33;102503600,0;123,0;35000,0;53166,67;42666,67;134,3;22,33;0,0;20,33;211552,55
Faina;GO;Centro-Oeste;2018,5;6721,67;644,83;533,83;116320200,0;115,0;150000,0;1500,0;46000,0;1945,7;60,17;1,0;3,45;924082,99
Fama;MG;Sudeste;2018,5;2392,67;604,67;450,67;40578600,0;51,0;23333,33;34333,33;5666,67;86,0;22,0;0,0;27,82;0,0
Faria Lemos;MG;Sudeste;2018,5;3280,0;384,67;324,83;53865400,0;51,67;0,0;3500,0;38833,33;165,2;42,5;0,67;19,86;31106,52
Farias Brito;CE;Nordeste;2018,5;19093,33;1325,33;1159,33;176344400,0;173,33;41666,67;22333,33;4500,0;503,6;246,67;3,67;37,91;0,0
Faro;PA;Norte;2018,5;6057,67;1419,0;1362,67;57474400,0;29,83;0,0;2500,0;1333,33;11770,6;137,0;2,67;0,6;0,0
Farol;PR;Sul;2018,5;3157,0;704,0;587,17;158435600,0;36,67;703333,33;434500,0;6000,0;289,2;34,83;0,5;10,92;0,0
Farroupilha;RS;Sul;2018,5;71554,67;31796,17;25985,83;3372926000,0;3,57;65000,0;216000,0;94166,67;360,4;843,5;6,0;198,54;356319836,04
Fartura;SP;Sudeste;2018,5;16038,5;4058,5;3268,67;380272600,0;684,17;261666,67;200333,33;45000,0;429,2;202,83;0,83;37,37;363644,01
Fartura do Piauí;PI;Nordeste;2018,5;5280,17;214,5;196,0;33302400,0;24,67;41666,67;7500,0;3000,0;712,9;77,83;1,5;7,41;0,0
Faxinal;PR;Sul;2018,5;17278,33;2284,67;1572,33;435130800,0;508,0;696666,67;552500,0;3333,33;715,9;239,83;1,67;24,14;528770,13
Faxinal do Soturno;RS;Sul;2018,5;6736,0;1712,67;1224,0;201894800,0;309,33;45000,0;59666,67;4666,67;169,9;64,33;0,67;39,65;3414615,31
Faxinal dos Guedes;SC;Sul;2018,5;10689,17;3109,17;2542,67;465643200,0;417,83;460000,0;155000,0;173000,0;339,6;160,17;1,83;31,48;4758654,77
Faxinalzinho;RS;Sul;2018,5;2377,0;271,5;220,33;64535200,0;61,0;28333,33;45666,67;5333,33;143,4;24,67;0,17;16,58;0,0
Fazenda Nova;GO;Centro-Oeste;2018,5;5763,0;671,0;446,17;108606000,0;153,0;305000,0;1500,0;57666,67;1281,4;50,67;1,0;4,5;111746,43
Fazenda Rio Grande;PR;Sul;2018,5;98881,0;18121,83;14517,17;2448527200,0;2,57;40000,0;59833,33;3166,67;116,7;1,97;21,83;847,31;810646638,83
Fazenda Vilanova;RS;Sul;2018,5;4436,33;838,67;660,83;112763400,0;138,17;35000,0;5000,0;65000,0;84,8;52,33;0,5;52,32;20141908,59
Feijó;AC;Norte;2018,5;34009,5;1898,33;1717,17;363374200,0;195,67;43333,33;54333,33;4000,0;27974,6;841,5;24,0;1,22;0,0
Feira Grande;AL;Nordeste;2018,5;22271,17;1005,17;904,33;294114400,0;116,0;55000,0;65000,0;8000,0;172,7;328,33;4,0;128,96;484,69
Feira Nova;PE;Nordeste;2018,5;22090,83;1613,83;1366,83;192708800,0;216,83;0,0;4500,0;7000,0;107,7;316,0;4,0;205,11;2030339,67
Feira Nova;SE;Nordeste;2018,5;5596,67;406,17;374,17;70236200,0;30,5;0,0;21333,33;32500,0;184,9;98,17;1,33;30,27;0,0
Feira Nova do Maranhão;MA;Nordeste;2018,5;8449,0;459,0;423,67;75579600,0;34,83;41666,67;5833,33;2666,67;1473,4;99,83;1,5;5,73;0,0
Feira da Mata;BA;Nordeste;2018,5;5748,33;1058,5;947,5;49929200,0;43,67;10000,0;333,33;3000,0;1668,5;48,17;0,83;3,45;20338,19
Feira de Santana;BA;Nordeste;2018,5;619769,5;114217,0;94748,67;14310201000,0;14,1;250000,0;4000,0;37833,33;1338,0;9,92;140,5;463,21;871281380,07
Felipe Guerra;RN;Nordeste;2018,5;6008,0;482,17;420,5;88397400,0;53,33;0,0;6333,33;2500,0;268,6;57,33;0,5;22,37;0,0
Felisburgo;MG;Sudeste;2018,5;7455,83;608,67;530,5;61047000,0;87,5;0,0;4666,67;5500,0;596,2;98,17;1,5;12,51;0,0
Felixlândia;MG;Sudeste;2018,5;15330,5;2132,67;1840,5;232766200,0;280,0;40000,0;11500,0;44666,67;1554,6;129,17;1,67;9,86;3823,59
Feliz;RS;Sul;2018,5;13474,5;6100,5;5052,0;427458600,0;682,67;0,0;7000,0;5166,67;95,4;152,83;1,0;141,24;15313970,12
Feliz Deserto;AL;Nordeste;2018,5;4774,67;521,83;487,83;114355000,0;32,17;40000,0;52166,67;12500,0;91,8;74,5;0,83;52,01;304014,43
Feliz Natal;MT;Centro-Oeste;2018,5;13999,33;1786,83;1414,33;504073200,0;253,83;6338333,33;479102,17;1000,0;11462,4;200,17;3,33;1,22;0,0
Felício dos Santos;MG;Sudeste;2018,5;4829,17;1076,83;939,5;46540000,0;65,67;35000,0;43666,67;6333,33;357,6;60,83;0,17;13,5;0,0
Fernandes Pinheiro;PR;Sul;2018,5;5722,0;670,0;573,67;182989200,0;90,67;420000,0;357666,67;43333,33;406,5;87,17;1,17;14,08;233080,69
Fernandes Tourinho;MG;Sudeste;2018,5;3416,17;421,5;362,0;40198400,0;49,67;126666,67;1666,67;5333,33;151,9;30,0;0,67;22,49;0,0
Fernando Falcão;MA;Nordeste;2018,5;10361,17;354,17;334,0;66118400,0;16,17;173333,33;37000,0;0,0;5086,6;246,67;6,83;2,04;0,0
Fernando Pedroza;RN;Nordeste;2018,5;3061,33;274,33;248,5;32200600,0;24,0;0,0;41166,67;0,0;322,6;36,67;0,67;9,49;0,0
Fernando Prestes;SP;Sudeste;2018,5;5784,33;2159,83;1829,17;196682600,0;234,33;448333,33;458833,33;0,0;170,7;55,83;0,5;33,89;169761,95
Fernando de Noronha;PE;Nordeste;2018,5;3052,17;1927,67;1503,67;153746600,0;292,5;0,0;0,0;32666,67;17,0;27,33;0,33;179,54;2180,17
Fernandópolis;SP;Sudeste;2018,5;69015,0;18688,33;14403,67;2048644200,0;3,14;355000,0;405833,33;35833,33;550,0;747,33;6,17;125,48;980508,11
Fernão;SP;Sudeste;2018,5;1709,5;719,83;590,83;58504200,0;44,17;38333,33;61833,33;1833,33;100,8;19,0;0,33;16,96;0,0
Ferraz de Vasconcelos;SP;Sudeste;2018,5;192851,0;20534,67;17927,67;3227027400,0;2,1;0,0;0,0;32666,67;29,9;2,76;33,0;6449,87;74475815,41
Ferreira Gomes;AP;Norte;2018,5;7641,0;693,5;654,0;478838000,0;42,5;15000,0;6000,0;0,0;5046,2;168,5;2,67;1,51;0,0
Ferreiros;PE;Nordeste;2018,5;12489,83;1041,33;912,83;108522000,0;116,0;51666,67;36500,0;14500,0;89,3;140,67;1,33;139,86;0,0
Ferros;MG;Sudeste;2018,5;9998,67;856,17;699,67;119832800,0;135,5;36666,67;4000,0;31666,67;1088,8;90,33;1,0;9,18;0,0
Fervedouro;MG;Sudeste;2018,5;11024,17;753,0;589,17;112684200,0;138,83;58333,33;25666,67;3666,67;357,7;144,33;0,83;30,82;0,0
Figueira;PR;Sul;2018,5;7889,17;1057,5;802,67;143852200,0;226,0;56666,67;30666,67;3333,33;129,8;101,17;0,33;60,78;331736,61
Figueirao;MS;Centro-Oeste;2018,5;3044,5;444,0;342,83;104057800,0;92,0;41666,67;14000,0;3500,0;4882,9;36,83;0,33;0,62;0,0
Figueirópolis;TO;Norte;2018,5;5288,83;461,33;408,17;170145800,0;63,0;540000,0;186166,67;5500,0;1930,1;67,0;0,67;2,74;0,0
Figueirópolis DOeste;MT;Centro-Oeste;2018,5;3471,67;386,67;331,0;61886200,0;49,5;586666,67;166,67;5166,67;899,4;46,17;0,33;3,86;83338,85
Filadélfia;BA;Nordeste;2018,5;16634,33;1172,67;978,5;122738800,0;174,33;60000,0;1166,67;4166,67;570,1;251,5;4,33;29,18;0,0
Filadélfia;TO;Norte;2018,5;8870,5;1159,0;1050,33;105349600,0;53,33;0,0;1000,0;5333,33;1988,1;109,33;1,5;4,46;0,0
Firmino Alves;BA;Nordeste;2018,5;5686,17;490,83;412,17;49943400,0;71,0;3333,33;2500,0;7500,0;162,4;50,5;0,83;35,01;0,0
Firminópolis;GO;Centro-Oeste;2018,5;13197,0;1073,67;878,33;186670000,0;228,83;38333,33;146500,0;20166,67;423,6;91,5;1,5;31,15;0,0
Flexeiras;AL;Nordeste;2018,5;12850,33;1019,83;954,83;184286200,0;46,17;51666,67;66333,33;11000,0;333,2;187,33;1,67;38,57;0,0
Flor da Serra do Sul;PR;Sul;2018,5;4671,5;3418,83;2870,17;127271400,0;135,33;158333,33;44833,33;44166,67;239,3;70,5;0,67;19,52;161418,03
Flor do Sertão;SC;Sul;2018,5;1585,5;342,83;299,83;45013200,0;35,17;61666,67;3500,0;34166,67;58,7;20,17;0,33;27,01;2109,17
Flora Rica;SP;Sudeste;2018,5;1493,83;313,17;208,67;37693600,0;107,67;28333,33;28833,33;1333,33;225,3;15,67;0,0;6,63;0,0
Floraí;PR;Sul;2018,5;4981,33;928,33;725,5;180885400,0;143,0;380000,0;134500,0;1500,0;191,1;56,5;0,33;26,07;30404,09
Floreal;SP;Sudeste;2018,5;2935,5;517,33;396,33;62566400,0;114,5;45000,0;41833,33;4666,67;204,3;20,83;0,33;14,37;0,0
Flores;PE;Nordeste;2018,5;22604,83;1308,83;1140,67;172265000,0;155,5;416666,67;4000,0;3500,0;995,6;254,83;4,17;22,7;0,0
Flores da Cunha;RS;Sul;2018,5;30433,0;16310,67;12810,67;1646102200,0;2,22;51666,67;461666,67;66166,67;273,5;386,83;4,5;111,27;163290266,37
Flores de Goiás;GO;Centro-Oeste;2018,5;16155,83;723,5;656,5;157715600,0;77,83;536666,67;231500,0;4166,67;3709,4;98,17;1,67;4,36;0,0
Flores do Piauí;PI;Nordeste;2018,5;4439,5;347,0;314,17;37540400,0;31,83;50000,0;3333,33;0,0;946,7;57,83;1,5;4,69;0,0
Floresta;PE;Nordeste;2018,5;32789,33;4277,5;4014,0;413633600,0;279,5;45000,0;32333,33;3666,67;3644,2;478,33;8,5;9,0;2070,36
Floresta;PR;Sul;2018,5;6730,67;1049,33;794,0;208417600,0;220,33;595000,0;149500,0;1000,0;158,2;111,17;1,0;42,55;0,0
Floresta Azul;BA;Nordeste;2018,5;10823,0;725,33;640,67;83129000,0;66,17;36666,67;5500,0;4833,33;293,5;96,83;2,17;36,88;0,0
Floresta do Araguaia;PA;Norte;2018,5;20150,83;1250,0;1117,0;318386800,0;143,5;415000,0;435333,33;4666,67;3444,3;334,67;3,0;5,85;1489,11
Floresta do Piauí;PI;Nordeste;2018,5;2161,0;509,0;448,5;21442800,0;17,67;25000,0;15000,0;0,0;194,7;22,5;0,17;13,07;0,0
Florestal;MG;Sudeste;2018,5;7433,83;1340,5;1070,0;116809000,0;188,83;386666,67;5000,0;19166,67;191,4;77,0;0,67;38,84;0,0
Florestópolis;PR;Sul;2018,5;10706,5;1341,5;1014,67;293967200,0;266,67;210000,0;243000,0;1666,67;246,3;153,5;1,33;43,47;701150,56
Floriano;PI;Nordeste;2018,5;59628,67;11538,17;9407,0;1131134600,0;1,52;50000,0;4333,33;54333,33;3409,6;922,67;13,67;17,49;743029,2
Floriano Peixoto;RS;Sul;2018,5;1823,0;246,0;177,0;57016200,0;46,33;171666,67;56000,0;2166,67;168,4;14,67;0,0;10,83;0,0
Florianópolis;SC;Sul;2018,5;497156,0;320421,5;280412,83;20503202800,0;29,09;411666,67;0,0;1000,0;671,6;6,19;42,17;740,26;2326533488,77
Florânia;RN;Nordeste;2018,5;9385,83;727,5;591,0;93216000,0;128,0;41666,67;4166,67;27333,33;504,9;105,17;1,5;18,59;0,0
Florínia;SP;Sudeste;2018,5;2699,17;377,83;329,83;153045400,0;49,67;693333,33;313333,33;0,0;225,6;28,67;0,0;11,96;0,0
Flórida;PR;Sul;2018,5;2693,0;491,0;377,0;62131000,0;94,33;45000,0;45333,33;1000,0;83,0;32,0;0,33;32,45;0,0
Flórida Paulista;SP;Sudeste;2018,5;14546,17;1522,5;1173,0;207742200,0;294,83;516666,67;118666,67;7166,67;525,1;107,33;2,5;27,7;0,0
Fonte Boa;AM;Norte;2018,5;18185,33;1973,17;1877,83;175732600,0;99,0;0,0;6000,0;0,0;12110,9;618,17;9,17;1,5;7830,83
Fontoura Xavier;RS;Sul;2018,5;10465,5;1483,5;1105,0;204774000,0;243,0;45000,0;44666,67;41666,67;583,5;96,5;1,17;17,94;0,0
Formiga;MG;Sudeste;2018,5;67943,33;21179,33;17286,33;1706793200,0;2,47;463333,33;339000,0;68500,0;1501,9;695,33;7,5;45,24;26773554,72
Formigueiro;RS;Sul;2018,5;6781,83;587,33;465,67;187140200,0;113,5;503333,33;193833,33;3833,33;582,0;73,33;0,67;11,65;200340,23
Formosa;GO;Centro-Oeste;2018,5;120056,17;16069,0;13536,0;2366670600,0;2,53;605000,0;607166,67;50000,0;5811,8;1,75;17,33;20,66;51053865,87
Formosa da Serra Negra;MA;Nordeste;2018,5;19079,83;769,17;647,5;141715000,0;112,17;55000,0;2500,0;3333,33;3950,5;244,67;2,83;4,83;0,0
Formosa do Oeste;PR;Sul;2018,5;6738,33;1017,33;742,83;282635600,0;194,33;453333,33;315833,33;55000,0;275,7;89,17;1,17;24,44;68671,2
Formosa do Rio Preto;BA;Nordeste;2018,5;25739,0;2557,33;2110,83;2217403400,0;333,83;4955000,0;18495,17;5500,0;16404,4;437,67;6,67;1,57;2331653,25
Formosa do Sul;SC;Sul;2018,5;2520,33;391,33;262,5;54890400,0;97,0;0,0;4000,0;57666,67;99,6;34,5;0,67;25,3;0,0
Formoso;GO;Centro-Oeste;2018,5;4356,67;454,5;322,83;76308800,0;115,5;0,0;4833,33;8166,67;844,3;59,0;0,17;5,16;0,0
Formoso;MG;Sudeste;2018,5;9494,83;1535,33;1338,5;193670000,0;62,0;303333,33;559666,67;3333,33;3685,7;82,67;1,17;2,58;0,0
Formoso do Araguaia;TO;Norte;2018,5;18512,67;2177,33;1745,33;385345600,0;368,5;365000,0;410333,33;32666,67;13423,3;280,83;3,5;1,38;3540533,33
Forquetinha;RS;Sul;2018,5;2444,5;409,33;320,0;43798000,0;80,0;0,0;5666,67;34666,67;93,6;17,67;0,17;26,12;0,0
Forquilha;CE;Nordeste;2018,5;24227,83;1928,0;1702,33;210413600,0;208,67;60000,0;4833,33;59166,67;517,0;301,5;4,17;46,86;113579,17
Forquilhinha;SC;Sul;2018,5;26590,17;6695,83;5484,83;851227000,0;835,33;503333,33;232666,67;4833,33;181,9;435,83;3,33;146,18;68338309,4
Fortaleza;CE;Nordeste;2018,5;2656631,67;874995,67;788406,17;64124794600,0;58,81;130000,0;41166,67;3666,67;314,9;34,85;413,17;8436,43;4315605691,96
Fortaleza de Minas;MG;Sudeste;2018,5;4414,17;555,5;439,33;75492800,0;75,5;38333,33;50833,33;2666,67;218,8;36,0;0,5;20,17;126072,33
Fortaleza do Tabocão;TO;Norte;2018,5;2589,33;1655,83;1558,83;178577000,0;44,5;35000,0;28500,0;6000,0;621,6;58,33;1,0;4,17;0,0
Fortaleza dos Nogueiras;MA;Nordeste;2018,5;12558,0;955,67;733,83;163894400,0;170,33;615000,0;145500,0;3333,33;1664,3;225,83;2,5;7,55;0,0
Fortaleza dos Valos;RS;Sul;2018,5;4400,67;630,33;460,0;284202600,0;162,17;461666,67;363500,0;30333,33;650,3;49,83;0,17;6,77;22454,93
Fortim;CE;Nordeste;2018,5;16438,5;1316,0;1081,17;180797000,0;191,5;188333,33;48166,67;0,0;282,1;192,17;3,17;58,27;18788108,99
Fortuna;MA;Nordeste;2018,5;13532,0;1340,5;1134,67;109171800,0;71,67;71666,67;13500,0;4666,67;695,0;289,17;2,0;23,31;0,0
Fortuna de Minas;MG;Sudeste;2018,5;2945,33;411,0;335,33;38557400,0;61,33;95000,0;1500,0;7333,33;198,7;35,67;0,5;14,82;0,0
Foz do Iguaçu;PR;Sul;2018,5;260255,5;68291,17;54100,5;15069497800,0;9,9;343333,33;128500,0;3166,67;617,7;4,26;45,67;421,33;1004555298,31
Foz do Jordão;PR;Sul;2018,5;4773,33;758,67;674,0;125061200,0;74,17;503333,33;255333,33;4833,33;235,4;76,5;0,67;20,28;0,0
Fraiburgo;SC;Sul;2018,5;36402,0;7897,5;6479,83;982878200,0;1,14;440000,0;615666,67;62333,33;546,3;531,17;5,67;66,63;54903300,32
Franca;SP;Sudeste;2018,5;351661,33;123364,17;104074,5;9664876000,0;14,28;608333,33;374666,67;40500,0;605,7;4,71;42,0;580,59;122812339,93
Francinópolis;PI;Nordeste;2018,5;5319,67;249,5;217,17;38008600,0;32,33;21666,67;5333,33;0,0;268,7;59,5;0,83;19,8;0,0
Francisco Alves;PR;Sul;2018,5;6135,67;861,83;658,83;193348000,0;162,33;528333,33;347666,67;25833,33;321,9;106,67;1,5;19,06;0,0
Francisco Ayres;PI;Nordeste;2018,5;4323,5;279,83;248,17;37188800,0;35,0;60000,0;2666,67;0,0;656,5;61,5;0,83;6,59;0,0
Francisco Badaró;MG;Sudeste;2018,5;10402,83;511,67;425,33;64679400,0;80,0;0,0;166,67;3333,33;461,3;59,17;1,5;22,55;0,0
