Municipio;UF;Regiao;Ano;Populacao;PessoalOcupado;PessoalAssalariado;PIB;QtEmpresas;AreaPlantada_h;VlProducaoAgricola;VlProducaoPecuaria;Area;NrNascimentos;NrObitosInfantis;povoamento;Exportacoes_R$
Monte Alegre dos Campos;RS;Sul;2018,5;3234,5;294,33;256,83;72856800,0;31,17;38333,33;195333,33;5833,33;549,7;38,17;0,17;5,88;0,0
Monte Alto;SP;Sudeste;2018,5;50370,83;14714,17;12327,33;1907689600,0;1,94;388333,33;580000,0;1500,0;346,5;503,83;6,5;145,37;91719078,0
Monte Aprazível;SP;Sudeste;2018,5;24904,33;5184,83;3950,0;679291200,0;567,25;411666,67;423833,33;2166,67;496,9;235,5;1,67;50,12;3184086,83
Monte Azul;MG;Sudeste;2018,5;21129,67;2025,5;1528,5;203603600,0;426,17;40000,0;4000,0;18833,33;994,2;241,0;4,17;21,25;105763,49
Monte Azul Paulista;SP;Sudeste;2018,5;19076,0;4626,17;3628,0;552671600,0;795,33;441666,67;643666,67;4333,33;263,4;214,83;2,67;72,42;2767705,91
Monte Belo;MG;Sudeste;2018,5;13256,5;3946,0;3549,0;281533400,0;300,5;436666,67;230666,67;31166,67;421,3;137,33;1,5;31,47;3086334,97
Monte Belo do Sul;RS;Sul;2018,5;2590,17;455,33;331,33;86064200,0;112,17;30000,0;61500,0;3333,33;68,4;19,5;0,17;37,87;1005786,0
Monte Carlo;SC;Sul;2018,5;9844,33;1156,83;970,67;165251600,0;184,5;55000,0;48666,67;5000,0;193,8;145,67;1,33;50,8;547418,52
Monte Carmelo;MG;Sudeste;2018,5;47969,17;11181,33;9168,83;1146043600,0;1,57;413333,33;483000,0;70833,33;1343,0;565,67;6,83;35,72;58368,63
Monte Castelo;SC;Sul;2018,5;8338,5;1241,33;988,17;175079600,0;194,17;31666,67;31666,67;2666,67;561,7;123,17;1,83;14,85;0,0
Monte Castelo;SP;Sudeste;2018,5;4173,83;558,67;445,33;103820000,0;108,17;78333,33;67833,33;4833,33;232,6;44,17;0,33;17,94;0,0
Monte Formoso;MG;Sudeste;2018,5;4918,33;304,17;276,33;35319600,0;28,0;0,0;1500,0;2833,33;385,6;66,17;1,5;12,76;0,0
Monte Horebe;PB;Nordeste;2018,5;4822,0;1362,17;1200,67;37286400,0;42,33;0,0;166,67;0,0;116,2;65,67;0,5;41,5;0,0
Monte Mor;SP;Sudeste;2018,5;59095,5;13703,33;11972,5;3318201400,0;1,27;40000,0;62666,67;23333,33;240,5;899,67;8,67;245,72;688004132,79
Monte Negro;RO;Norte;2018,5;15988,33;1365,17;1140,5;285449200,0;174,67;30000,0;42833,33;28666,67;1931,4;189,0;1,83;8,28;0,0
Monte Santo;BA;Nordeste;2018,5;50229,0;2739,33;2348,83;364464800,0;423,67;273333,33;57500,0;3500,0;3186,9;669,33;11,0;15,76;0,0
Monte Santo de Minas;MG;Sudeste;2018,5;21659,33;3479,33;2616,33;406901400,0;679,67;441666,67;415333,33;36500,0;594,6;224,83;1,67;36,43;1206194,39
