Ano;Populacao;PessoalOcupado;PessoalAssalariado;PIB;QtEmpresas;AreaPlantada_h;VlProducaoAgricola;VlProducaoPecuaria;Area;NrNascimentos;NrObitosInfantis;povoamento;UF;Municipio;Regiao;Exportacoes_R$
2017;30832,0;10402,0;8288,0;1092250000,0;1,509;650000,0;2000,0;62000,0;265,0;398,0;2,0;116,347;RS;Frederico Westphalen;Sul;25072559,439999998
2017;129784,0;20434,0;16469,0;2801210000,0;2,87;460000,0;101000,0;3000,0;5715,8;1,794;22,0;22,706;RS;Uruguaiana;Sul;87259198,8
2017;61709,0;6487,0;5858,0;639412000,0;550,0;50000,0;616000,0;0,0;5145,3;1,489;22,0;11,993;PA;Tomé-Açu;Norte;
2017;24813,0;4356,0;3456,0;522754000,0;661,0;30000,0;25000,0;0,0;347,4;331,0;6,0;71,425;SP;Álvares Machado;Sudeste;2974172,96
2017;3760,0;951,0;762,0;89597000,0;154,0;20000,0;15000,0;7000,0;57,4;46,0;0,0;65,505;RS;Pareci Novo;Sul;3596252,2399999998
2017;8821,0;851,0;643,0;190917000,0;152,0;140000,0;436000,0;4000,0;536,0;137,0;5,0;16,457;PR;Congonhinhas;Sul;
2017;135968,0;15754,0;13514,0;2524899000,0;1,576;950000,0;3000,0;4000,0;302,2;1,845;29,0;449,927;MG;Sabará;Sudeste;105859142,64
2017;360380,0;35650,0;28987,0;5221399000,0;5,379;0,0;0,0;0,0;148,9;4,657;75,0;2420,282;SP;São Vicente;Sudeste;43122344,16
2017;61827,0;5450,0;4724,0;977489000,0;590,0;490000,0;96000,0;7000,0;360,8;873,0;9,0;171,361;AL;São Miguel dos Campos;Nordeste;8777525,52
2017;13365,0;2687,0;2365,0;319092000,0;249,0;890000,0;61000,0;0,0;729,0;163,0;3,0;18,333;RS;Barra do Ribeiro;Sul;8293748,56
2017;49738,0;13717,0;11243,0;1604050000,0;2,449;780000,0;95000,0;0,0;377,6;705,0;7,0;131,721;SC;Xanxerê;Sul;92151769,03999999
2017;24748,0;2274,0;1877,0;273042000,0;308,0;0,0;9000,0;4000,0;1595,1;299,0;5,0;15,515;MG;Pedra Azul;Sudeste;639460,08
2017;15349,0;2303,0;2108,0;240185000,0;203,0;100000,0;63000,0;8000,0;400,4;240,0;5,0;38,334;SE;Frei Paulo;Nordeste;10533951,92
2017;30160,0;5324,0;4742,0;602811000,0;395,0;280000,0;5000,0;0,0;71,6;420,0;5,0;421,229;MG;São Joaquim de Bicas;Sudeste;11938581,84
2017;19364,0;4394,0;3439,0;659185000,0;685,0;530000,0;35000,0;11000,0;418,7;250,0;1,0;46,248;PR;Capanema;Sul;10297005,04
2017;127369,0;22881,0;18141,0;2126337000,0;3,128;0,0;9000,0;8000,0;370,2;1,721;27,0;344,055;MG;Conselheiro Lafaiete;Sudeste;4921134,96
2017;17393,0;3340,0;2852,0;679147000,0;426,0;890000,0;30000,0;0,0;202,7;208,0;3,0;85,807;SP;Elias Fausto;Sudeste;62240508,48
2017;22524,0;4703,0;3842,0;838098000,0;860,0;40000,0;33000,0;74000,0;243,9;325,0;5,0;92,349;SC;Capinzal;Sul;309491,83999999997
2017;25294,0;1979,0;1760,0;327416000,0;205,0;20000,0;566000,0;5000,0;1852,3;370,0;4,0;13,655;PE;Lagoa Grande;Nordeste;4539285,6
