Ano,Regiao,UF,Municipio,PIB,Populacao,PIB_per_capita
2018,Sul,RS,Encantado,888888.0,22520.0,39471.04795737123
2018,Sul,RS,Veranópolis,1553616.0,25936.0,59901.912399753244
2018,Centro-Oeste,MS,Sidrolândia,2166105.0,56081.0,38624.578734330695
2018,Sul,RS,Santo Ângelo,2651255.0,77620.0,34156.853903633084
2018,Sul,PR,Sertanópolis,687037.0,16323.0,42090.11823806898
2018,Norte,TO,Porto Nacional,1677032.0,52700.0,31822.23908918406
2018,Centro-Oeste,GO,Quirinópolis,1700011.0,49416.0,34402.03577788571
2018,Sul,PR,Jaguariaíva,1480457.0,34683.0,42685.37900412305
2018,Centro-Oeste,GO,Ipameri,1276818.0,26792.0,47656.68856375037
2018,Nordeste,PI,Uruçuí,1702960.0,21457.0,79366.17420888288
2018,Centro-Oeste,MT,Matupá,753804.0,16334.0,46149.381657891514
2018,Centro-Oeste,MT,Araputanga,455328.0,16690.0,27281.4859197124
2018,Norte,RO,Chupinguaia,300109.0,10886.0,27568.344662869742
2018,Sul,RS,Charqueadas,1304462.0,40301.0,32367.980943400908
2018,Sudeste,SP,Américo Brasiliense,832952.0,39962.0,20843.60142135028
2018,Sul,RS,Horizontina,1628971.0,19267.0,84547.2050656563
2018,Norte,RO,Cerejeiras,470647.0,16444.0,28621.199221600586
2018,Sudeste,SP,Araras,5560316.0,132934.0,41827.64379316052
2018,Sudeste,SP,Laranjal Paulista,1107570.0,28240.0,39219.900849858364
2018,Sul,PR,Medianeira,1929418.0,45812.0,42115.99580895835
2018,Centro-Oeste,MT,Paranatinga,665661.0,22246.0,29922.727681380922
2018,Centro-Oeste,GO,Santa Fé de Goiás,241834.0,5393.0,44842.20285555349
2018,Sul,PR,São João,739352.0,10303.0,71760.84635543046
2018,Sudeste,SP,Nova Odessa,3522570.0,59371.0,59331.49180576376
2018,Sudeste,MG,Santos Dumont,939829.0,46555.0,20187.49865750188
2018,Norte,PA,Abaetetuba,1413517.0,156292.0,9044.07775190029
2018,Sudeste,SP,Cosmópolis,1584927.0,70998.0,22323.54432519226
2018,Sul,SC,Curitibanos,1425830.0,39595.0,36010.35484278318
2018,Sudeste,SP,Osasco,76607992.0,696850.0,109934.69469756763
